
global timestep: 63820, episodic_reward: [-0.5760517]
Moviepy - Building video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694070562/rl-video-episode-0.mp4.
Moviepy - Writing video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694070562/rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694070562/rl-video-episode-0.mp4
global timestep: 64200, episodic_reward: [-1.3398378]
global timestep: 65424, episodic_reward: [-1.5404152]
global timestep: 65444, episodic_reward: [-1.1982038]
global timestep: 66704, episodic_reward: [-1.2158763]
global timestep: 66900, episodic_reward: [-2.0590386]
global timestep: 67404, episodic_reward: [-1.6585419]
global timestep: 68308, episodic_reward: [-1.5496036]
global timestep: 68440, episodic_reward: [-1.6410547]
global timestep: 69228, episodic_reward: [1.4554601]
global timestep: 69712, episodic_reward: [-1.1653589]
global timestep: 70724, episodic_reward: [-2.4621284]
global timestep: 71296, episodic_reward: [-1.8757966]
global timestep: 71776, episodic_reward: [-1.9790891]
global timestep: 71988, episodic_reward: [0.10073066]
global timestep: 72704, episodic_reward: [-1.3367991]
global timestep: 72888, episodic_reward: [-0.22766152]
global timestep: 73224, episodic_reward: [-0.8589642]
global timestep: 73936, episodic_reward: [-2.241873]
global timestep: 74740, episodic_reward: [-1.1809007]
global timestep: 75636, episodic_reward: [-1.5497873]
global timestep: 75780, episodic_reward: [-1.5834562]
global timestep: 76440, episodic_reward: [0.15884048]
global timestep: 77240, episodic_reward: [-1.9545681]
global timestep: 77800, episodic_reward: [-2.3115299]
global timestep: 78168, episodic_reward: [-1.9005888]
global timestep: 78540, episodic_reward: [-1.4020799]
global timestep: 78852, episodic_reward: [-1.8998616]
global timestep: 79332, episodic_reward: [-0.7857628]
global timestep: 80140, episodic_reward: [-1.0301464]
global timestep: 81392, episodic_reward: [-1.9002081]
global timestep: 81892, episodic_reward: [-1.1258568]
global timestep: 82304, episodic_reward: [-1.431848]
global timestep: 82844, episodic_reward: [-1.295156]
global timestep: 84080, episodic_reward: [-0.93957525]
global timestep: 84384, episodic_reward: [-1.7086724]
global timestep: 85192, episodic_reward: [-1.374692]
global timestep: 85684, episodic_reward: [-0.298284]
global timestep: 86040, episodic_reward: [-1.171844]
global timestep: 86532, episodic_reward: [-1.696032]
global timestep: 86584, episodic_reward: [-0.01512504]
global timestep: 87464, episodic_reward: [-2.2621298]
global timestep: 90396, episodic_reward: [-0.7522745]
global timestep: 91564, episodic_reward: [-0.7130857]
global timestep: 92352, episodic_reward: [-0.10120749]
global timestep: 92600, episodic_reward: [-1.0197216]
global timestep: 92892, episodic_reward: [-0.9946839]
global timestep: 93752, episodic_reward: [-0.47794804]
global timestep: 94128, episodic_reward: [0.24892688]
global timestep: 95356, episodic_reward: [-0.16526785]
global timestep: 96060, episodic_reward: [-0.7048352]
global timestep: 96436, episodic_reward: [-2.2886715]
global timestep: 96960, episodic_reward: [-0.24412662]
global timestep: 97664, episodic_reward: [-0.3196668]
global timestep: 98112, episodic_reward: [-1.6301433]
global timestep: 98364, episodic_reward: [-0.8637797]
global timestep: 98552, episodic_reward: [-0.29643825]
global timestep: 98564, episodic_reward: [-0.22097543]
global timestep: 99488, episodic_reward: [-1.243867]
global timestep: 100168, episodic_reward: [-1.7080483]
global timestep: 100968, episodic_reward: [-1.6880472]
global timestep: 100980, episodic_reward: [-0.8828272]
global timestep: 101080, episodic_reward: [-1.7890247]
global timestep: 102016, episodic_reward: [-1.9765761]
global timestep: 102016, episodic_reward: [-1.9316697]
global timestep: 103336, episodic_reward: [-1.218966]
global timestep: 103448, episodic_reward: [-1.809246]
global timestep: 103620, episodic_reward: [-0.46952856]
global timestep: 105596, episodic_reward: [-1.1092463]
global timestep: 105804, episodic_reward: [-0.81331867]
global timestep: 106480, episodic_reward: [-1.7185436]
global timestep: 106512, episodic_reward: [-1.3257346]
global timestep: 106956, episodic_reward: [-1.8760698]
global timestep: 108560, episodic_reward: [-0.5668278]
global timestep: 110412, episodic_reward: [-0.8606944]
global timestep: 110540, episodic_reward: [-0.8756057]
global timestep: 111516, episodic_reward: [-1.8649635]
global timestep: 112800, episodic_reward: [-1.1584945]
global timestep: 114196, episodic_reward: [-0.76236445]
global timestep: 115784, episodic_reward: [-1.8867091]
global timestep: 116668, episodic_reward: [-0.32621333]
global timestep: 116800, episodic_reward: [-0.96696985]
global timestep: 117484, episodic_reward: [-0.7761905]
global timestep: 118088, episodic_reward: [-0.32791302]
global timestep: 118228, episodic_reward: [1.9588797]
global timestep: 118312, episodic_reward: [-0.75006914]
global timestep: 118912, episodic_reward: [-0.78524613]
global timestep: 119816, episodic_reward: [-1.7765828]
global timestep: 119916, episodic_reward: [-2.339993]
global timestep: 120516, episodic_reward: [-2.1295552]
global timestep: 121520, episodic_reward: [-1.8023119]
global timestep: 122900, episodic_reward: [0.5814582]
global timestep: 122904, episodic_reward: [-1.7088257]
global timestep: 123124, episodic_reward: [-0.51147074]
global timestep: 123888, episodic_reward: [-2.3188865]
global timestep: 125832, episodic_reward: [-1.5948639]
global timestep: 126156, episodic_reward: [1.6127459]
global timestep: 126244, episodic_reward: [-1.8188978]
global timestep: 127004, episodic_reward: [-0.93216014]
global timestep: 129108, episodic_reward: [-1.2307596]
global timestep: 129912, episodic_reward: [-1.1352229]
global timestep: 130656, episodic_reward: [-0.41400576]
global timestep: 133080, episodic_reward: [-0.45456862]
global timestep: 133116, episodic_reward: [-1.9587362]
global timestep: 133916, episodic_reward: [-1.5108813]
global timestep: 134844, episodic_reward: [-1.920057]
global timestep: 135228, episodic_reward: [-1.6530061]
global timestep: 136768, episodic_reward: [-1.1002344]
global timestep: 136832, episodic_reward: [-0.1613026]
global timestep: 138828, episodic_reward: [1.0629902]
global timestep: 139644, episodic_reward: [-0.78646207]
global timestep: 140756, episodic_reward: [-0.7600799]
global timestep: 140876, episodic_reward: [-0.78248334]
global timestep: 142064, episodic_reward: [0.87378216]
global timestep: 142684, episodic_reward: [-0.7583709]
global timestep: 142852, episodic_reward: [-1.9133137]
global timestep: 143048, episodic_reward: [-0.9211091]
global timestep: 143500, episodic_reward: [-1.2810643]
global timestep: 143892, episodic_reward: [-1.4486122]
global timestep: 145904, episodic_reward: [-0.564705]
global timestep: 146364, episodic_reward: [-0.18356442]
global timestep: 146756, episodic_reward: [-1.4795974]
global timestep: 147192, episodic_reward: [0.5319311]
global timestep: 148360, episodic_reward: [-1.415826]
global timestep: 148832, episodic_reward: [-1.6923149]
global timestep: 149928, episodic_reward: [0.9017631]
global timestep: 150412, episodic_reward: [-0.5751987]
global timestep: 150436, episodic_reward: [-0.32374698]
global timestep: 150812, episodic_reward: [-1.5547904]
global timestep: 151268, episodic_reward: [-1.470252]
global timestep: 152360, episodic_reward: [-1.1582154]
global timestep: 152448, episodic_reward: [-1.0314256]
global timestep: 152744, episodic_reward: [-1.3775522]
global timestep: 153196, episodic_reward: [-1.1164973]
global timestep: 153964, episodic_reward: [-0.16215552]
global timestep: 154348, episodic_reward: [-1.3631072]
global timestep: 154896, episodic_reward: [-1.5539778]
global timestep: 155568, episodic_reward: [-0.35775557]
global timestep: 156372, episodic_reward: [-1.0079724]
global timestep: 157756, episodic_reward: [-1.9226652]
global timestep: 157976, episodic_reward: [-1.7283922]
global timestep: 158844, episodic_reward: [-0.3902614]
global timestep: 159160, episodic_reward: [-1.2564542]
global timestep: 159244, episodic_reward: [-1.0291265]
global timestep: 159752, episodic_reward: [-1.7623764]
global timestep: 160128, episodic_reward: [-2.0442874]
global timestep: 160640, episodic_reward: [-0.30515936]
global timestep: 161380, episodic_reward: [0.62103236]
global timestep: 161732, episodic_reward: [-1.5247391]
global timestep: 162184, episodic_reward: [-1.0115387]
global timestep: 163268, episodic_reward: [-0.7019577]
global timestep: 163788, episodic_reward: [-1.5431398]
global timestep: 164844, episodic_reward: [-1.1822107]
global timestep: 166812, episodic_reward: [-0.402153]
global timestep: 167080, episodic_reward: [-0.12453878]
global timestep: 167960, episodic_reward: [-1.6884676]
global timestep: 168288, episodic_reward: [0.12304169]
global timestep: 168416, episodic_reward: [-1.8254881]
global timestep: 168736, episodic_reward: [0.3019247]
global timestep: 169592, episodic_reward: [-1.5370489]
global timestep: 170628, episodic_reward: [-1.0423373]
global timestep: 171476, episodic_reward: [-1.4185612]
global timestep: 171544, episodic_reward: [-1.6521283]
global timestep: 171852, episodic_reward: [-1.4713719]
global timestep: 172012, episodic_reward: [-0.89294004]
global timestep: 172800, episodic_reward: [-1.0685217]
global timestep: 172840, episodic_reward: [-1.3857973]
global timestep: 173108, episodic_reward: [-0.65686715]
global timestep: 173644, episodic_reward: [-1.0471778]
global timestep: 174196, episodic_reward: [-1.6963933]
global timestep: 175248, episodic_reward: [-0.19040696]
global timestep: 175536, episodic_reward: [-0.470266]
global timestep: 176796, episodic_reward: [-0.49995318]
global timestep: 177176, episodic_reward: [-1.6183286]
global timestep: 177960, episodic_reward: [-0.19726837]
global timestep: 178764, episodic_reward: [-1.0099497]
global timestep: 179384, episodic_reward: [-0.7812419]
global timestep: 179616, episodic_reward: [-1.719264]
global timestep: 179828, episodic_reward: [-1.8250654]
global timestep: 180776, episodic_reward: [-0.7396213]
global timestep: 181216, episodic_reward: [-0.99649936]
global timestep: 181220, episodic_reward: [-1.7463251]
global timestep: 183220, episodic_reward: [-2.3280542]
global timestep: 183332, episodic_reward: [-1.8130183]
global timestep: 184912, episodic_reward: [-1.8545623]
global timestep: 187312, episodic_reward: [-0.33152533]
global timestep: 187336, episodic_reward: [-2.0231202]
global timestep: 188156, episodic_reward: [-0.99645615]
global timestep: 188800, episodic_reward: [-1.2491854]
global timestep: 188940, episodic_reward: [-1.535723]
global timestep: 189172, episodic_reward: [-2.180909]
global timestep: 189404, episodic_reward: [-0.3453251]
global timestep: 189624, episodic_reward: [-1.4840633]
global timestep: 190224, episodic_reward: [-1.430118]
global timestep: 190316, episodic_reward: [-1.5801361]
global timestep: 191920, episodic_reward: [-1.8800722]
global timestep: 192532, episodic_reward: [-0.37285852]
global timestep: 193524, episodic_reward: [-0.32231948]
global timestep: 194136, episodic_reward: [-0.27120972]
global timestep: 194516, episodic_reward: [-2.0487208]
global timestep: 194668, episodic_reward: [-0.554307]
global timestep: 195248, episodic_reward: [0.5950749]
global timestep: 195504, episodic_reward: [-1.5061215]
global timestep: 196120, episodic_reward: [-2.2999647]
global timestep: 196176, episodic_reward: [-2.1568933]
global timestep: 196928, episodic_reward: [-0.5424843]
global timestep: 197060, episodic_reward: [-1.7981268]
global timestep: 198256, episodic_reward: [-1.1853323]
global timestep: 198664, episodic_reward: [-0.16054882]
global timestep: 199516, episodic_reward: [-0.5030774]
global timestep: 199940, episodic_reward: [-0.8229157]
global timestep: 200744, episodic_reward: [-0.9742332]
global timestep: 201120, episodic_reward: [-1.6999106]
global timestep: 202724, episodic_reward: [-0.16030504]
global timestep: 203676, episodic_reward: [-2.2284484]
global timestep: 204364, episodic_reward: [-0.19559324]
global timestep: 204480, episodic_reward: [-1.0613085]
global timestep: 204984, episodic_reward: [-1.4990675]
global timestep: 205140, episodic_reward: [-0.42119217]
global timestep: 205192, episodic_reward: [-1.5242602]
global timestep: 205304, episodic_reward: [-0.70398957]
global timestep: 205944, episodic_reward: [-1.1199077]
global timestep: 206908, episodic_reward: [-0.4658802]
global timestep: 206992, episodic_reward: [-2.142091]
