global timestep: 533716, episodic_reward: [-0.59605175]
Moviepy - Building video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694072734/rl-video-episode-0.mp4.
Moviepy - Writing video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694072734/rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694072734/rl-video-episode-0.mp4
global timestep: 533812, episodic_reward: [-1.8398378]
global timestep: 534088, episodic_reward: [-0.05187539]
global timestep: 534880, episodic_reward: [-0.7364835]
global timestep: 535068, episodic_reward: [1.8354601]
global timestep: 535192, episodic_reward: [-0.43820375]
global timestep: 535272, episodic_reward: [-0.4320363]
global timestep: 535468, episodic_reward: [0.59532243]
global timestep: 535532, episodic_reward: [0.69563437]
global timestep: 535576, episodic_reward: [-0.2017261]
global timestep: 536456, episodic_reward: [-0.4472027]
global timestep: 536684, episodic_reward: [-0.52229613]
global timestep: 536756, episodic_reward: [1.8288107]
global timestep: 536828, episodic_reward: [1.3142378]
global timestep: 537088, episodic_reward: [-0.50541234]
global timestep: 537092, episodic_reward: [-0.41902274]
global timestep: 537888, episodic_reward: [0.5802407]
global timestep: 538048, episodic_reward: [1.6641763]
global timestep: 538088, episodic_reward: [0.40691447]
global timestep: 538168, episodic_reward: [1.3626587]
global timestep: 538292, episodic_reward: [-0.11241864]
global timestep: 538292, episodic_reward: [-0.24664935]
global timestep: 538976, episodic_reward: [0.7615899]
global timestep: 539144, episodic_reward: [0.41645312]
global timestep: 539212, episodic_reward: [-0.58007956]
global timestep: 539460, episodic_reward: [-0.8148781]
global timestep: 539692, episodic_reward: [-0.40199897]
global timestep: 539708, episodic_reward: [0.56269765]
global timestep: 539864, episodic_reward: [-0.41690162]
global timestep: 540024, episodic_reward: [-0.26262593]
global timestep: 540228, episodic_reward: [-0.20210926]
global timestep: 540636, episodic_reward: [-0.2569917]
global timestep: 540952, episodic_reward: [-0.35151842]
global timestep: 540960, episodic_reward: [0.7446166]
global timestep: 541172, episodic_reward: [-0.12962621]
global timestep: 541180, episodic_reward: [0.63361204]
global timestep: 541384, episodic_reward: [-0.5138367]
global timestep: 541436, episodic_reward: [-0.60414666]
global timestep: 541788, episodic_reward: [-0.10050825]
global timestep: 541840, episodic_reward: [-0.48153105]
global timestep: 541992, episodic_reward: [-0.5365967]
global timestep: 542136, episodic_reward: [-0.33642596]
global timestep: 542624, episodic_reward: [-0.5777381]
global timestep: 542636, episodic_reward: [-0.7079154]
global timestep: 543040, episodic_reward: [-0.5191257]
global timestep: 543128, episodic_reward: [1.4760554]
global timestep: 544064, episodic_reward: [2.5435972]
global timestep: 544144, episodic_reward: [0.22894824]
global timestep: 544328, episodic_reward: [0.5138178]
global timestep: 544468, episodic_reward: [-0.69204515]
global timestep: 544492, episodic_reward: [0.34203964]
global timestep: 545084, episodic_reward: [-0.26546565]
global timestep: 545440, episodic_reward: [-0.5073004]
global timestep: 545968, episodic_reward: [0.3981638]
global timestep: 545984, episodic_reward: [-0.33570206]
global timestep: 546060, episodic_reward: [-0.31290567]
global timestep: 546716, episodic_reward: [-0.39545953]
global timestep: 546832, episodic_reward: [0.80328107]
global timestep: 546920, episodic_reward: [-1.3215127]
global timestep: 546928, episodic_reward: [-0.60462]
global timestep: 547068, episodic_reward: [-0.17070296]
global timestep: 547072, episodic_reward: [-2.3316956]
