global timestep: 2391252, episodic_reward: [-0.59605175]
Moviepy - Building video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694079748/rl-video-episode-0.mp4.
Moviepy - Writing video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694079748/rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694079748/rl-video-episode-0.mp4
global timestep: 2391348, episodic_reward: [-1.5598378]
global timestep: 2391624, episodic_reward: [-1.2518754]
global timestep: 2392024, episodic_reward: [-1.9190387]
global timestep: 2392028, episodic_reward: [-1.7804152]
global timestep: 2392228, episodic_reward: [-1.4063455]
global timestep: 2392416, episodic_reward: [-1.3764836]
global timestep: 2392604, episodic_reward: [1.3754601]
global timestep: 2392620, episodic_reward: [-1.1332563]
global timestep: 2392632, episodic_reward: [-0.241023]
global timestep: 2392808, episodic_reward: [-1.3920363]
global timestep: 2392980, episodic_reward: [-1.4353209]
global timestep: 2393004, episodic_reward: [-1.4017261]
global timestep: 2393224, episodic_reward: [-1.9137776]
global timestep: 2393324, episodic_reward: [-2.073116]
global timestep: 2393728, episodic_reward: [-0.2980715]
global timestep: 2393892, episodic_reward: [-1.546639]
global timestep: 2393904, episodic_reward: [-1.1672027]
global timestep: 2394444, episodic_reward: [-0.80926454]
global timestep: 2394476, episodic_reward: [-1.301767]
global timestep: 2394616, episodic_reward: [0.58779144]
global timestep: 2394844, episodic_reward: [-2.0177658]
global timestep: 2394968, episodic_reward: [-0.49244678]
global timestep: 2395052, episodic_reward: [-0.73213625]
global timestep: 2395500, episodic_reward: [-0.63986856]
global timestep: 2395828, episodic_reward: [-1.202813]
global timestep: 2396036, episodic_reward: [0.78307295]
global timestep: 2396292, episodic_reward: [1.0580523]
global timestep: 2396440, episodic_reward: [-1.1577708]
global timestep: 2396528, episodic_reward: [-0.7314458]
global timestep: 2396696, episodic_reward: [-0.55819005]
global timestep: 2396932, episodic_reward: [-0.320358]
global timestep: 2397068, episodic_reward: [-1.160554]
global timestep: 2397144, episodic_reward: [-0.6494132]
global timestep: 2397328, episodic_reward: [-0.778528]
global timestep: 2397432, episodic_reward: [-2.3360527]
global timestep: 2397656, episodic_reward: [-2.0614896]
global timestep: 2397860, episodic_reward: [-1.5275463]
global timestep: 2397900, episodic_reward: [-1.9069008]
global timestep: 2397920, episodic_reward: [-1.594341]
global timestep: 2398112, episodic_reward: [-0.85820186]
global timestep: 2398436, episodic_reward: [-0.7557407]
global timestep: 2398500, episodic_reward: [-1.8266044]
global timestep: 2398820, episodic_reward: [-0.8529807]
global timestep: 2399216, episodic_reward: [-0.13383067]
global timestep: 2399892, episodic_reward: [-0.10560441]
global timestep: 2400144, episodic_reward: [-1.7322577]
global timestep: 2400192, episodic_reward: [1.1564696]
global timestep: 2400504, episodic_reward: [1.8933849]
global timestep: 2400740, episodic_reward: [-0.9256979]
global timestep: 2401144, episodic_reward: [-1.0739902]
global timestep: 2401200, episodic_reward: [-0.9386765]
global timestep: 2401240, episodic_reward: [0.48863155]
global timestep: 2401348, episodic_reward: [-1.2258965]
global timestep: 2401452, episodic_reward: [-1.1163217]
global timestep: 2401452, episodic_reward: [0.8767942]
global timestep: 2401696, episodic_reward: [-0.9034683]
global timestep: 2401724, episodic_reward: [-1.3487837]
global timestep: 2401856, episodic_reward: [-0.27253604]
global timestep: 2401900, episodic_reward: [-1.0459265]
global timestep: 2402128, episodic_reward: [-0.21458162]
global timestep: 2402764, episodic_reward: [0.60438967]
global timestep: 2402928, episodic_reward: [1.2106483]
global timestep: 2403004, episodic_reward: [-1.3094325]
global timestep: 2403724, episodic_reward: [1.7840587]
global timestep: 2404312, episodic_reward: [0.37240452]
global timestep: 2404476, episodic_reward: [0.8829384]
global timestep: 2404480, episodic_reward: [-1.1598798]
global timestep: 2404492, episodic_reward: [-0.02764082]
global timestep: 2404716, episodic_reward: [-1.7864844]
global timestep: 2404780, episodic_reward: [-1.6258293]
global timestep: 2404896, episodic_reward: [-1.6596156]
global timestep: 2404984, episodic_reward: [-1.3235823]
global timestep: 2405244, episodic_reward: [-1.7272407]
global timestep: 2405300, episodic_reward: [-0.53705615]
global timestep: 2405388, episodic_reward: [-0.6009659]
global timestep: 2405424, episodic_reward: [-0.7834746]
global timestep: 2406612, episodic_reward: [0.9228934]
