global timestep: 3568852, episodic_reward: [-1.7960519]
Moviepy - Building video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694084236/rl-video-episode-0.mp4.
Moviepy - Writing video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694084236/rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694084236/rl-video-episode-0.mp4
global timestep: 3568948, episodic_reward: [-3.339838]
global timestep: 3569224, episodic_reward: [-3.7518754]
global timestep: 3569624, episodic_reward: [-8.819035]
global timestep: 3569628, episodic_reward: [-4.200415]
global timestep: 3569828, episodic_reward: [-2.7063456]
global timestep: 3570016, episodic_reward: [-9.636478]
global timestep: 3570204, episodic_reward: [-10.224539]
global timestep: 3570220, episodic_reward: [-2.3932567]
global timestep: 3570232, episodic_reward: [-2.8410227]
global timestep: 3570408, episodic_reward: [-2.6920364]
global timestep: 3570580, episodic_reward: [-8.4953165]
global timestep: 3570604, episodic_reward: [-4.101726]
global timestep: 3570824, episodic_reward: [-3.3737779]
global timestep: 3570924, episodic_reward: [-5.093116]
global timestep: 3571328, episodic_reward: [-1.9380717]
global timestep: 3571492, episodic_reward: [-6.5666375]
global timestep: 3571504, episodic_reward: [-5.987201]
global timestep: 3571896, episodic_reward: [-4.426346]
global timestep: 3572044, episodic_reward: [-4.369263]
global timestep: 3572076, episodic_reward: [-4.4417663]
global timestep: 3572216, episodic_reward: [-9.032204]
global timestep: 3572304, episodic_reward: [-3.0777657]
global timestep: 3572420, episodic_reward: [-1.5124469]
global timestep: 3572556, episodic_reward: [-2.8954883]
global timestep: 3572824, episodic_reward: [-1.3069029]
global timestep: 3572888, episodic_reward: [-3.4616776]
global timestep: 3573488, episodic_reward: [-5.2500906]
global timestep: 3573500, episodic_reward: [-4.701562]
global timestep: 3573604, episodic_reward: [-5.5969253]
global timestep: 3573828, episodic_reward: [-2.3083053]
global timestep: 3573852, episodic_reward: [-6.5314426]
global timestep: 3574364, episodic_reward: [-2.5253325]
global timestep: 3574384, episodic_reward: [-2.5034378]
global timestep: 3574504, episodic_reward: [-3.7663455]
