global timestep: 17755348, episodic_reward: [-3.1039484]
global timestep: 17755420, episodic_reward: [-3.8431692]
Moviepy - Building video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694162572/rl-video-episode-0.mp4.
Moviepy - Writing video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694162572/rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694162572/rl-video-episode-0.mp4
global timestep: 17755444, episodic_reward: [-2.6401625]
global timestep: 17755656, episodic_reward: [-1.7952676]
global timestep: 17755720, episodic_reward: [-3.5081246]
global timestep: 17756060, episodic_reward: [-4.826872]
global timestep: 17756120, episodic_reward: [-7.320957]
global timestep: 17756588, episodic_reward: [-7.2558203]
global timestep: 17757000, episodic_reward: [-7.5483212]
global timestep: 17757128, episodic_reward: [-7.5300303]
global timestep: 17757204, episodic_reward: [-1.6079638]
global timestep: 17757512, episodic_reward: [-3.2617264]
global timestep: 17757560, episodic_reward: [-15.381716]
global timestep: 17757784, episodic_reward: [-1.561348]
global timestep: 17758012, episodic_reward: [-3.632296]
global timestep: 17758200, episodic_reward: [-9.1205845]
global timestep: 17758504, episodic_reward: [-7.8494115]
global timestep: 17758604, episodic_reward: [-4.9386663]
global timestep: 17758792, episodic_reward: [-15.838045]
global timestep: 17758908, episodic_reward: [-4.8054123]
global timestep: 17759024, episodic_reward: [-7.375928]
global timestep: 17759112, episodic_reward: [-2.0722873]
global timestep: 17759516, episodic_reward: [-2.8188958]
global timestep: 17759520, episodic_reward: [-5.743247]
global timestep: 17759788, episodic_reward: [-7.9700413]
global timestep: 17759920, episodic_reward: [-2.7896485]
global timestep: 17760184, episodic_reward: [-10.12788]
global timestep: 17760472, episodic_reward: [-7.017043]
global timestep: 17760588, episodic_reward: [-2.818382]
global timestep: 17760772, episodic_reward: [-7.1235447]
global timestep: 17760832, episodic_reward: [-9.000075]
global timestep: 17760956, episodic_reward: [-4.9948773]
global timestep: 17760992, episodic_reward: [-4.416208]
global timestep: 17761064, episodic_reward: [-3.799777]
global timestep: 17761320, episodic_reward: [-1.9354643]
