global timestep: 212, episodic_reward: [-1.6360519]
Moviepy - Building video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694163057/rl-video-episode-0.mp4.
Moviepy - Writing video /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694163057/rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready /Users/askborgen/Desktop/code/python/pong/videos/Pong-v0__Ai__42__1694163057/rl-video-episode-0.mp4
global timestep: 308, episodic_reward: [-3.339838]
global timestep: 584, episodic_reward: [-3.1118755]
global timestep: 848, episodic_reward: [-4.8171062]
global timestep: 852, episodic_reward: [-4.2803025]
global timestep: 988, episodic_reward: [-2.8195846]
global timestep: 1052, episodic_reward: [-2.1536546]
global timestep: 1224, episodic_reward: [-5.9889216]
global timestep: 1428, episodic_reward: [-2.4267437]
global timestep: 1456, episodic_reward: [-4.858977]
global timestep: 1684, episodic_reward: [-7.591956]
global timestep: 1888, episodic_reward: [-5.52506]
global timestep: 2240, episodic_reward: [-3.502789]
global timestep: 2252, episodic_reward: [-7.4166117]
global timestep: 2548, episodic_reward: [-8.023615]
global timestep: 2656, episodic_reward: [-2.8980713]
global timestep: 2672, episodic_reward: [-7.9200068]
global timestep: 2760, episodic_reward: [-1.7920415]
global timestep: 2816, episodic_reward: [-6.510511]
global timestep: 3076, episodic_reward: [-4.5863457]
global timestep: 3260, episodic_reward: [-4.3721037]
global timestep: 3300, episodic_reward: [-1.5447054]
global timestep: 3352, episodic_reward: [-5.3016734]
global timestep: 3464, episodic_reward: [-2.1055248]
global timestep: 3752, episodic_reward: [-7.583867]
global timestep: 3756, episodic_reward: [-3.4549122]
global timestep: 3952, episodic_reward: [-5.4915676]
global timestep: 4228, episodic_reward: [-4.606353]
global timestep: 4228, episodic_reward: [-4.651726]
global timestep: 4380, episodic_reward: [-7.4856157]
global timestep: 4676, episodic_reward: [-2.63096]
global timestep: 4768, episodic_reward: [-4.3039293]
global timestep: 4896, episodic_reward: [-7.6235237]
global timestep: 5016, episodic_reward: [-2.7883055]
global timestep: 5116, episodic_reward: [-6.9968405]
global timestep: 5420, episodic_reward: [-2.7644298]
global timestep: 5580, episodic_reward: [-5.8875127]
global timestep: 5636, episodic_reward: [-7.1347356]
global timestep: 5820, episodic_reward: [-3.5569143]
global timestep: 5944, episodic_reward: [-4.763377]
global timestep: 5964, episodic_reward: [-7.2974186]
global timestep: 6236, episodic_reward: [-3.2944841]
global timestep: 6244, episodic_reward: [-3.6129076]
global timestep: 6448, episodic_reward: [-1.9252635]
global timestep: 6488, episodic_reward: [-7.080921]
global timestep: 6636, episodic_reward: [-6.0685554]
global timestep: 6840, episodic_reward: [-1.8797861]
global timestep: 6964, episodic_reward: [-4.00586]
global timestep: 7144, episodic_reward: [-6.902149]
global timestep: 7212, episodic_reward: [-3.3740687]
global timestep: 7268, episodic_reward: [-3.2470691]
global timestep: 7428, episodic_reward: [-1.6705747]
global timestep: 7548, episodic_reward: [-4.1734743]
global timestep: 7640, episodic_reward: [-1.7868736]
global timestep: 7668, episodic_reward: [-8.1508665]
global timestep: 8088, episodic_reward: [-5.383456]
global timestep: 8100, episodic_reward: [-5.1870356]
global timestep: 8180, episodic_reward: [-7.000005]
global timestep: 8352, episodic_reward: [-3.3000944]
global timestep: 8556, episodic_reward: [-5.001817]
global timestep: 8628, episodic_reward: [-5.1652555]
global timestep: 8832, episodic_reward: [-2.0474198]
global timestep: 8852, episodic_reward: [-4.386143]
global timestep: 8960, episodic_reward: [-3.9375772]
global timestep: 9176, episodic_reward: [-2.53633]
global timestep: 9256, episodic_reward: [-4.2688513]
global timestep: 9460, episodic_reward: [-2.3625772]
global timestep: 9480, episodic_reward: [-13.651865]
global timestep: 9580, episodic_reward: [-2.8858232]
global timestep: 9716, episodic_reward: [-7.590865]
global timestep: 9824, episodic_reward: [-4.143403]
global timestep: 9860, episodic_reward: [-3.913093]
global timestep: 10020, episodic_reward: [-4.383496]
global timestep: 10088, episodic_reward: [-1.5504211]
global timestep: 10120, episodic_reward: [-2.7600114]
global timestep: 10252, episodic_reward: [-4.552185]
global timestep: 10452, episodic_reward: [-5.1693482]
global timestep: 10512, episodic_reward: [-4.358647]
global timestep: 10660, episodic_reward: [-1.9041643]
global timestep: 10684, episodic_reward: [-4.244967]
global timestep: 10716, episodic_reward: [-2.2282407]
global timestep: 11004, episodic_reward: [-5.598528]
global timestep: 11408, episodic_reward: [-3.979023]
global timestep: 11532, episodic_reward: [-7.0256853]
global timestep: 11796, episodic_reward: [-8.287303]
global timestep: 11812, episodic_reward: [-2.886648]
global timestep: 11936, episodic_reward: [-2.8712442]
global timestep: 12028, episodic_reward: [-2.8678823]
global timestep: 12232, episodic_reward: [-1.8641721]
global timestep: 12284, episodic_reward: [-10.248764]
global timestep: 12452, episodic_reward: [-5.1903133]
global timestep: 12496, episodic_reward: [-2.8075047]
global timestep: 12508, episodic_reward: [-5.92324]
global timestep: 12672, episodic_reward: [-3.2104707]
global timestep: 12876, episodic_reward: [-2.0707529]
global timestep: 13152, episodic_reward: [-8.402193]
global timestep: 13172, episodic_reward: [-4.7623086]
global timestep: 13376, episodic_reward: [-2.6285267]
global timestep: 13492, episodic_reward: [-7.9819136]
global timestep: 13592, episodic_reward: [-5.410514]
global timestep: 13760, episodic_reward: [-7.963603]
global timestep: 13780, episodic_reward: [-4.4100895]
global timestep: 13976, episodic_reward: [-3.0349221]
global timestep: 14208, episodic_reward: [-4.0641155]
global timestep: 14364, episodic_reward: [-5.547785]
global timestep: 14380, episodic_reward: [-2.8803737]
global timestep: 14404, episodic_reward: [-6.839979]
global timestep: 14412, episodic_reward: [-2.3566194]
global timestep: 14660, episodic_reward: [-3.4969723]
global timestep: 14836, episodic_reward: [-3.7878275]
global timestep: 15064, episodic_reward: [-4.44208]
global timestep: 15228, episodic_reward: [-6.7627764]
global timestep: 15628, episodic_reward: [-4.1196694]
global timestep: 15632, episodic_reward: [-2.7615345]
global timestep: 15776, episodic_reward: [-3.5999942]
global timestep: 16052, episodic_reward: [-3.222542]
global timestep: 16056, episodic_reward: [-2.0883882]
global timestep: 16208, episodic_reward: [-9.309746]
global timestep: 16356, episodic_reward: [-3.5537894]
global timestep: 16476, episodic_reward: [-3.9383533]
global timestep: 16628, episodic_reward: [-3.8681343]
global timestep: 16640, episodic_reward: [-6.6907268]
global timestep: 17072, episodic_reward: [-5.2068415]
global timestep: 17212, episodic_reward: [-7.271204]
global timestep: 17344, episodic_reward: [-6.494846]
global timestep: 17492, episodic_reward: [-3.4983282]
global timestep: 17508, episodic_reward: [-5.4130354]
global timestep: 17732, episodic_reward: [-3.396936]
global timestep: 17928, episodic_reward: [-2.6765614]
global timestep: 17964, episodic_reward: [-5.1889935]
global timestep: 18092, episodic_reward: [-2.473064]
global timestep: 18600, episodic_reward: [-9.690128]
global timestep: 18780, episodic_reward: [-5.319928]
global timestep: 18828, episodic_reward: [-6.508229]
global timestep: 19596, episodic_reward: [-10.034212]
global timestep: 19684, episodic_reward: [-7.1134043]
global timestep: 19696, episodic_reward: [-7.130868]
global timestep: 19884, episodic_reward: [-5.4829073]
